Station,transmission_rate,log_transmission_rate,ground_lit,sat_lit,elevation_class
431 - PE0SAT-11,0.1529745042492918,-1.8774840103690222,False,True,Medium
2173 - PE0SAT-21,0.13314447592067988,-2.016320455223238,False,True,Medium
2968 - UX5UL,1.7355516637478108,0.5513253246739778,False,True,Medium
2968 - UX5UL,1.551792828685259,0.43941092617901906,False,True,Low
1936 - VK4JBE-UHF,0.25316455696202533,-1.3737155789130304,True,True,Medium
1710 - EU1AEM,0.04819277108433735,-3.0325462466767075,False,True,Low
2617 - K2PI,0.030707610146862484,-3.4832447675880696,True,True,High
1861 - LW2DYB,0.10377358490566038,-2.2655438213136967,False,False,High
1864 - SA2KNG Omni UHF/VHF,6.116666666666666,1.8110172858324696,False,True,High
2029 - EU1AEM,0.006607929515418502,-5.019484909373238,True,True,Low
2029 - EU1AEM,0.09375,-2.367123614131617,False,True,Medium
3122 - Lovets,0.027700831024930747,-3.586292865338835,True,True,Medium
1710 - EU1AEM,0.07416267942583732,-2.60149422803961,False,True,Low
1710 - EU1AEM,0.11075949367088607,-2.2003941520974983,True,True,Medium
2029 - EU1AEM,0.0125,-4.382026634673881,False,True,Medium
2968 - UX5UL,0.015533980582524271,-4.1647253589839,True,True,Low
2968 - UX5UL,0.003663003663003663,-5.60947179518496,False,True,Low
1864 - SA2KNG Omni UHF/VHF,0.3277777777777778,-1.115419406984491,False,True,High
2173 - PE0SAT-21,0.25,-1.3862943611198906,False,True,Medium
91 - M0EYT / 2E0NOG,0.06451612903225806,-2.740840023925201,False,True,High
71 - PV8DX,0.03225806451612903,-3.4339872044851463,False,False,Medium
2173 - PE0SAT-21,0.014705882352941176,-4.219507705176107,True,True,Medium
71 - PV8DX,0.013422818791946308,-4.310799125385514,False,False,Medium
